"","treeID","gridID","x","y","dbh","code2","cd2_gss","l/d","nt_2021","notes","scintfc","genus","species","code8","geometry"
"1",1,101,584145.3649,148776.5941,20.574,"QUMO",NA,"L",NA,"LEAN 30 DEGREES","Quercus montana","Quercus","montana","quercusMontana",c(584145.3649, 148776.5941)
"2",2,101,584147.0763,148770.985,10.668,"ACPE",NA,"L",NA,"Double stem (one less than 4"")","Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584147.0763, 148770.985)
"3",3,101,584153.3789,148773.6273,18.796,"CASP","CAOV","L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584153.3789, 148773.6273)
"4",4,101,584150.8267,148771.9058,40.132,"TIAM",NA,"L",NA,NA,"Tilia americana","Tilia","americana","tiliaAmerican",c(584150.8267, 148771.9058)
"5",5,101,584157.289,148770.034,37.846,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584157.289, 148770.034)
"6",6,101,584155.7642,148762.9778,14.732,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584155.7642, 148762.9778)
"7",7,101,584151.3164,148762.0226,20.574,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584151.3164, 148762.0226)
"8",8,101,584149.9834,148762.0213,10.668,"ACPE",NA,"L",NA,"LEAN 10 DEGREES","Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584149.9834, 148762.0213)
"9",9,101,584146.3834,148758.6226,17.78,"CASP","CAOV","L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584146.3834, 148758.6226)
"10",10,101,584134.9896,148757.1545,12.192,"ACPE",NA,"L",NA,NA,"Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584134.9896, 148757.1545)
"11",11,101,584142.2522,148765.3573,17.018,"CASP","CAOV","L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584142.2522, 148765.3573)
"12",12,101,584140.3275,148765.842,73.66,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584140.3275, 148765.842)
"13",14,101,584134.205,148766.7699,22.352,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584134.205, 148766.7699)
"14",15,101,584135.2257,148767.7731,28.194,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584135.2257, 148767.7731)
"15",16,101,584133.2342,148769.8061,44.958,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584133.2342, 148769.8061)
"16",17,101,584140.5422,148771.2752,45.72,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584140.5422, 148771.2752)
"17",18,101,584132.7248,148781.058,18.796,"QURU",NA,"D",NA,"Dead","Quercus rubra","Quercus","rubra","quercusRubra",c(584132.7248, 148781.058)
"18",19,101,584143.5682,148771.8254,17.272,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584143.5682, 148771.8254)
"19",20,101,584144.9653,148770.5167,13.716,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584144.9653, 148770.5167)
"20",21,101,584144.9053,148777.0472,59.436,"QUCO",NA,"L",NA,NA,"Quercus coccinea","Quercus","coccinea","quercusCoccinea",c(584144.9053, 148777.0472)
"21",22,102,584171.6337,148777.1683,15.494,"COFL",NA,"L",NA,NA,"Cornus florida","Cornus","florida","cornusFlorida",c(584171.6337, 148777.1683)
"22",23,102,584171.7982,148776.6616,16.002,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584171.7982, 148776.6616)
"23",24,102,584176.2612,148783.7071,29.21,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584176.2612, 148783.7071)
"24",25,102,584176.2552,148772.9456,31.496,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584176.2552, 148772.9456)
"25",26,102,584180.2445,148768.3938,44.45,"QUMO",NA,"L",NA,"Trees 5, 6, 7 from same stump","Quercus montana","Quercus","montana","quercusMontana",c(584180.2445, 148768.3938)
"26",27,102,584180.7534,148767.7637,32.258,"QUMO",NA,"L",NA,"LEAN","Quercus montana","Quercus","montana","quercusMontana",c(584180.7534, 148767.7637)
"27",28,102,584180.0331,148767.6268,35.052,"QUMO",NA,"L",NA,"BEND","Quercus montana","Quercus","montana","quercusMontana",c(584180.0331, 148767.6268)
"28",29,102,584180.481,148763.1602,35.56,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584180.481, 148763.1602)
"29",30,102,584174.7888,148767.6213,21.082,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584174.7888, 148767.6213)
"30",31,102,584172.0132,148767.607,52.578,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584172.0132, 148767.607)
"31",32,102,584168.4398,148762.4188,12.954,"ACPE",NA,"L",NA,"Trees 11, 12 from same stump","Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584168.4398, 148762.4188)
"32",33,102,584168.2471,148762.2905,11.176,"ACPE",NA,"L",NA,NA,"Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584168.2471, 148762.2905)
"33",34,102,584167.5152,148767.2288,23.114,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584167.5152, 148767.2288)
"34",35,102,584159.7575,148767.6395,39.37,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584159.7575, 148767.6395)
"35",36,102,584158.1794,148767.849,13.208,"COFL",NA,"L",NA,"LEAN / BEND","Cornus florida","Cornus","florida","cornusFlorida",c(584158.1794, 148767.849)
"36",37,102,584167.1875,148772.0358,33.782,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584167.1875, 148772.0358)
"37",38,102,584159.7166,148771.9042,45.72,"QUVE",NA,"D",NA,"Dead","Quercus velutina","Quercus","velutina","quercusVelutina",c(584159.7166, 148771.9042)
"38",39,102,584156.3645,148777.6175,37.338,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584156.3645, 148777.6175)
"39",40,102,584164.1456,148776.3966,17.78,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584164.1456, 148776.3966)
"40",41,102,584164.0791,148778.4347,27.432,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584164.0791, 148778.4347)
"41",42,102,584169.2672,148783.1257,52.324,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584169.2672, 148783.1257)
"42",43,103,584151.0592,148754.1389,58.674,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584151.0592, 148754.1389)
"43",44,103,584157.6148,148756.1206,59.69,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584157.6148, 148756.1206)
"44",45,103,584157.8105,148750.626,47.244,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584157.8105, 148750.626)
"45",46,103,584156.4882,148745.3428,26.162,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584156.4882, 148745.3428)
"46",47,103,584157.0762,148739.3038,49.53,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584157.0762, 148739.3038)
"47",48,103,584161.9955,148734.7119,24.13,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584161.9955, 148734.7119)
"48",49,103,584159.7986,148732.7003,48.26,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584159.7986, 148732.7003)
"49",50,103,584159.226,148732.5413,10.414,"COFL",NA,"L",NA,NA,"Cornus florida","Cornus","florida","cornusFlorida",c(584159.226, 148732.5413)
"50",51,103,584153.6219,148738.0186,36.068,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584153.6219, 148738.0186)
"51",52,103,584151.725,148735.4432,64.008,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584151.725, 148735.4432)
"52",53,103,584149.6545,148730.991,12.192,"ACPE",NA,"L",NA,NA,"Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584149.6545, 148730.991)
"53",54,103,584148.8108,148740.3957,11.176,"CASP",NA,"L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584148.8108, 148740.3957)
"54",56,103,584145.133,148739.1328,12.192,"CASP",NA,"L",NA,"FORK BELOW DBH; MEASURED AS TWO STEMS","Carya spp.","Carya","UNKN","caryaUNKN",c(584145.133, 148739.1328)
"55",57,103,584144.9902,148738.9742,19.05,"CASP",NA,"L",NA,"FORK BELOW DBH; MEASURED AS TWO STEMS","Carya spp.","Carya","UNKN","caryaUNKN",c(584144.9902, 148738.9742)
"56",58,103,584136.6916,148738.8569,16.002,"CASP",NA,"L",NA,"BORDERLINE","Carya spp.","Carya","UNKN","caryaUNKN",c(584136.6916, 148738.8569)
"57",59,103,584140.3396,148741.4509,18.034,"CASP",NA,"L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584140.3396, 148741.4509)
"58",60,103,584136.5228,148742.3519,36.322,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584136.5228, 148742.3519)
"59",61,103,584141.1229,148744.7999,10.668,"COFL",NA,"L",NA,NA,"Cornus florida","Cornus","florida","cornusFlorida",c(584141.1229, 148744.7999)
