"treeID","lat","lon","y","x","code8","genus","species","crown","dbh","elev","slope","swale","code2","crown_2008","crown_2016","dbh_2008","dbh_2012","dbh_2016","scientific"
1,40.6649226485444,-77.9072112979226,147866.219928,586706.692905,"caryaOvata","Carya","ovata",1,"28.1","258.95804500000003","N","P","CAOV","D","D",24.638,"26.6","28.1","Carya ovata"
2,40.6649318904423,-77.90719813674,147867.2442,586707.8076,"tsugaCanadens","Tsuga","canadensis",5,"17.2","259.27581900000001","N","P","TSCA","S","S",16.764,"17.399999999999999","17.2","Tsuga canadensis"
3,40.6649240317559,-77.9071772161962,147866.368395,586709.575022,"pinusStrobus","Pinus","strobus",3,"25.7","259.43008800000001","N","P","PIST","I","I",25.654,"26","25.7","Pinus strobus"
4,40.6649275050569,-77.9071683742094,147866.752752,586710.323359,"fraxinusAmerican","Fraxinus","americana",NA,"DEAD","259.537262","N","P","FRAM","CD","Dead",27.178,"28.2","DEAD","Fraxinus americana"
5,40.6648870455907,-77.9071525929686,147862.257615,586711.649776,"acerSaccharu","Acer","saccharum",1,"29.2","259.52681000000001","N","P","ACSA","D","D",27.178,"27.8","29.2","Acer saccharum"
8,40.6649393251668,-77.9069915226866,147868.0387,586725.2797,"quercusAlba","Quercus","alba",1,"28.2","261.68781999999999","N","P","QUAL","D","D",25.654,"28.9","28.2","Quercus alba"
9,40.6648981426896,-77.9069916273765,147863.465667767,586725.262718203,"tsugaCanadens","Tsuga","canadensis",2,"41.9","N/A","N","P","TSCA","CD","CD",40.894,"42.8","41.9","Tsuga canadensis"
10,40.6649058278843,-77.9069889074646,147864.318650118,586725.494222546,"pinusStrobus","Pinus","strobus",2,"28.6","N/A","N","P","PIST","CD","CD",27.178,"28.5","28.6","Pinus strobus"
11,40.6648118228834,-77.9070308578552,147853.886309,586721.928467,"pinusStrobus","Pinus","strobus",1,"29.7","260.23807900000003","N","P","PIST","D","D",27.686,"29.7","29.7","Pinus strobus"
12,40.6648062233874,-77.907051958643,147853.267694,586720.143142,"betulaLenta","Betula","lenta",2,"25.2","260.01232900000002","N","P","BELE","CD","CD",24.384,"25.7","25.2","Betula lenta"
